"Supersonic Generation",dx,version,"PRiSM" 
"False Amber (from the Black Bazaar, Or by A Kervan Trader from the Lands Afar, Or BuriedBeneath the Shifting Sands That LeadEverywhere but Nowhere)",dx,version,"PRiSM PLUS"
"だから僕は音楽を辞めた",dx,sheets,3,internalLevelValue,12.5 
"転生林檎",dx,sheets,3,internalLevelValue,13.1
"スナネコのうた",dx,sheets,3,internalLevelValue,13.4
"㋰責任集合体",dx,sheets,3,internalLevelValue,13.5
"プラネタリウム・レヴュー",dx,sheets,4,internalLevelValue,13.7
"最愛人生ランナー",dx,sheets,3,internalLevelValue,13.7
"M@GICAL☆CURE! LOVE ♥ SHOT!",dx,sheets,3,internalLevelValue,13.7 
"ゆけむり魂温泉 II",dx,sheets,3,internalLevelValue,13.7
"エンジェル ドリーム",dx,sheets,3,internalLevelValue,13.7 
"果ての空、僕らが見た光。",dx,sheets,3,internalLevelValue,13.7
"モエチャッカファイア",dx,sheets,3,internalLevelValue,13.8 
"BlackFlagBreaker!!",dx,sheets,3,internalLevelValue,13.8
"ありきたりな恋の歌",dx,sheets,3,internalLevelValue,13.8 
"ずんだパーリナイ",dx,sheets,3,internalLevelValue,13.8
"How To Make 音ゲ～曲！",dx,sheets,3,internalLevelValue,13.8 
"Colorfull:Encounter",dx,sheets,3,internalLevelValue,13.8
"天蓋",dx,sheets,3,internalLevelValue,13.8
"crazy (about you)",dx,sheets,3,internalLevelValue,13.8
"JIGOKU STATION CENTRAL GATE",dx,sheets,3,internalLevelValue,13.8 
"病み垢ステロイド",dx,sheets,3,internalLevelValue,13.9
"Flashback",dx,sheets,3,internalLevelValue,13.9
"Unwelcome School",dx,sheets,4,internalLevelValue,14.0 
"System “Z”",std,sheets,4,internalLevelValue,14.0
"Elemental Ethnic",dx,sheets,3,internalLevelValue,14.0
"Overjoy ★ OVERDOSE!!",dx,sheets,3,internalLevelValue,14.1
"184億回のマルチトニック",dx,sheets,3,internalLevelValue,14.1 
"∀",dx,sheets,3,internalLevelValue,14.2
"Destined Marionette",dx,sheets,3,internalLevelValue,14.2
"HYP3RTRIBE",dx,sheets,3,internalLevelValue,14.2
"美夜月鏡",dx,sheets,3,internalLevelValue,14.2
"Zitronectar",dx,sheets,3,internalLevelValue,14.3
"Abstruse Dilemma",dx,sheets,3,internalLevelValue,14.4
"Get U ♭ack",dx,sheets,3,internalLevelValue,14.5
"雨露霜雪",dx,sheets,3,internalLevelValue,14.7
"Cryptarithm",dx,sheets,3,internalLevelValue,14.7
